;course;daytime/evening attendance;previous qualification (grade);displaced;tuition fees up to date;scholarship holder;curricular units 1st sem (evaluations);curricular units 1st sem (grade);unemployment rate;inflation rate;gdp;target
3175;Ciencias Exactas;Yes;Basic;No;Yes;No;Low;Failure;Medium;Low;High;Dropout
3176;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Basic;High;Low;Medium;Graduate
3177;Diseno;Yes;Basic;Yes;Yes;Yes;Very Low;Basic;High;Low;Medium;Dropout
3178;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Satisfactory;Medium;Medium;Medium;Graduate
3179;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Low Failure;Low;Medium;Medium;Enrolled
3180;Diseno;Yes;Satisfactory;No;Yes;No;Very Low;Satisfactory;High;Low;Medium;Graduate
3181;Ciencias Agrarias;Yes;Basic;Yes;Yes;No;Low;Basic;Superior;Low;Low;Dropout
3182;Ciencias Sociales;No;Basic;Yes;Yes;No;Medium High;Low Failure;Low;Low;Very Low;Graduate
3183;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Medium;Medium;Enrolled
3184;Ciencias de la Salud;Yes;Low Failure;No;Yes;Yes;Low;Basic;Medium;Low;High;Graduate
3185;Ciencias Exactas;Yes;Low Failure;No;Yes;No;Very Low;Failure;Superior;Low;Low;Dropout
3186;Ciencias Agrarias;Yes;Basic;No;No;Yes;Low;Failure;Low;Low;Very Low;Dropout
3187;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Failure;Superior;Medium;Very Low;Dropout
3188;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Low;Failure;Medium;Low;High;Dropout
3189;Diseno;Yes;Basic;No;Yes;No;Very Low;Failure;High;Low;Medium;Dropout
3190;Ciencias Agrarias;Yes;Basic;No;No;No;Low;Failure;High;Low;Medium;Dropout
3191;Diseno;Yes;Low Failure;No;Yes;No;Very Low;Basic;High;Low;Medium;Dropout
3192;Ciencias Exactas;Yes;Basic;No;Yes;No;Low;Low Failure;Superior;Medium;Very Low;Enrolled
3193;Diseno;Yes;Basic;No;Yes;No;Low;Basic;High;Low;Medium;Dropout
3194;Ciencias Exactas;No;Basic;No;Yes;No;Low;Low Failure;High;Low;Medium;Enrolled
3195;Ciencias Sociales;Yes;Basic;Yes;No;No;Very Low;Failure;Low;Medium;High;Dropout
3196;Ciencias Agrarias;Yes;Basic;Yes;Yes;No;Low;Low Failure;Superior;Medium;Very Low;Enrolled
3197;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Very Low;Basic;Low;Medium;High;Graduate
3198;Ciencias Sociales;Yes;Low Failure;No;Yes;No;Very Low;Failure;Superior;Low;Low;Dropout
3199;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;Medium;Medium;Medium;Graduate
3200;Ciencias Sociales;Yes;Satisfactory;No;Yes;No;Very Low;Failure;Low;Medium;High;Dropout
3201;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Satisfactory;Low;Low;Very Low;Graduate
3202;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Basic;High;Low;Medium;Enrolled
3203;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;High;Low;Medium;Dropout
3204;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Basic;Low;Medium;Medium;Dropout
3205;Ciencias Exactas;No;Basic;No;No;No;Very Low;Failure;Low;Medium;High;Dropout
3206;Ciencias Exactas;Yes;Basic;No;Yes;No;Very Low;Basic;Superior;Low;Low;Graduate
3207;Ciencias Sociales;Yes;Low Failure;Yes;Yes;No;Low;Low Failure;Superior;Medium;Very Low;Dropout
3208;Ciencias Sociales;Yes;Basic;No;No;No;Very Low;Low Failure;Low;Medium;High;Dropout
3209;Diseno;Yes;Basic;No;Yes;No;Low;Low Failure;Low;Low;Very Low;Graduate
3210;Ciencias Agrarias;Yes;Basic;Yes;Yes;No;Low;Superior;High;Low;Medium;Graduate
3211;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Failure;Low;Medium;Medium;Enrolled
3212;Ciencias Sociales;Yes;Low Failure;No;Yes;Yes;Low;Basic;Low;Medium;High;Graduate
3213;Ciencias Agrarias;Yes;Basic;No;Yes;No;Very Low;Failure;Superior;Medium;Very Low;Dropout
3214;Diseno;Yes;Satisfactory;Yes;Yes;No;Very Low;Satisfactory;Low;Low;Very Low;Graduate
3215;Ciencias Sociales;Yes;Low Failure;Yes;Yes;Yes;Very Low;Basic;High;Low;Medium;Graduate
3216;Ciencias Sociales;Yes;Basic;No;No;No;Low;Low Failure;Low;Low;Very Low;Dropout
3217;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Medium;Medium;Graduate
3218;Ciencias Sociales;No;Basic;No;Yes;No;Low;Low Failure;Superior;Medium;Very Low;Enrolled
3219;Ciencias Exactas;No;Basic;No;Yes;No;Very Low;Failure;Superior;Low;Low;Dropout
3220;Diseno;Yes;Basic;No;Yes;No;Very Low;Failure;Low;Low;Very Low;Dropout
3221;Ciencias de la Salud;Yes;Basic;Yes;No;Yes;Low;Basic;Low;Medium;High;Dropout
3222;Diseno;Yes;Satisfactory;Yes;Yes;Yes;Low;Satisfactory;Medium;Low;High;Graduate
3223;Ciencias Exactas;No;Basic;Yes;No;No;Very Low;Failure;Medium;Medium;Medium;Dropout
3224;Ciencias Exactas;Yes;Basic;No;Yes;No;Low;Basic;Medium;Medium;Medium;Dropout
3225;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;Low;Low;Very Low;Graduate
3226;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Basic;Medium;Low;High;Graduate
3227;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Medium;High;Enrolled
3228;Ciencias de la Salud;Yes;Low Failure;Yes;Yes;Yes;Low;Low Failure;High;Low;Medium;Graduate
3229;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;Medium;Low;High;Graduate
3230;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Satisfactory;High;High;Low;Graduate
3231;Ciencias Exactas;Yes;Basic;No;Yes;No;Low;Low Failure;Medium;Low;High;Enrolled
3232;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Basic;High;High;Low;Graduate
3233;Ciencias de la Salud;Yes;Basic;No;Yes;No;Very Low;Failure;Medium;Low;High;Dropout
3234;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;Superior;Medium;Very Low;Graduate
3235;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;Superior;Medium;Very Low;Graduate
3236;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Very Low;Basic;Medium;Medium;Medium;Graduate
3237;Diseno;Yes;Low Failure;Yes;Yes;No;Very Low;Basic;Low;Medium;Medium;Enrolled
3238;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Very Low;Satisfactory;Medium;Low;High;Graduate
3239;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Very Low;Basic;High;Low;Medium;Graduate
3240;Ciencias Exactas;No;Basic;No;Yes;No;Low;Low Failure;High;High;Low;Enrolled
3241;Ciencias Sociales;Yes;Low Failure;No;Yes;No;Medium Low;Basic;Low;Medium;Medium;Graduate
3242;Ciencias Sociales;No;Basic;No;Yes;No;Low;Low Failure;High;Low;Medium;Dropout
3243;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Satisfactory;Low;Low;Very Low;Graduate
3244;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Basic;Medium;Medium;Medium;Dropout
3245;Ciencias Sociales;Yes;Basic;No;No;No;Very Low;Low Failure;Medium;Medium;Medium;Dropout
3246;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Very Low;Satisfactory;Medium;Low;High;Graduate
3247;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Very Low;Satisfactory;High;Low;Medium;Graduate
3248;Ciencias Exactas;Yes;Basic;No;Yes;Yes;Very Low;Low Failure;Superior;Low;Low;Graduate
3249;Diseno;Yes;Satisfactory;Yes;Yes;No;Very Low;Satisfactory;Superior;Low;Low;Graduate
3250;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Failure;High;High;Low;Dropout
3251;Ciencias Exactas;Yes;Basic;Yes;Yes;Yes;Low;Low Failure;High;Low;Medium;Graduate
3252;Ciencias Agrarias;Yes;Basic;Yes;Yes;Yes;Very Low;Failure;Low;Medium;Medium;Dropout
3253;Ciencias Agrarias;Yes;Basic;Yes;Yes;Yes;Low;Basic;High;Low;Medium;Dropout
3254;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Basic;Medium;Low;High;Graduate
3255;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Low Failure;Low;Low;Very Low;Graduate
3256;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Very Low;Basic;Low;Medium;Medium;Graduate
3257;Ciencias Agrarias;Yes;Basic;No;Yes;No;Low;Basic;Medium;Low;High;Graduate
3258;Ciencias Exactas;Yes;Basic;No;Yes;Yes;Low;Basic;Medium;Low;High;Graduate
3259;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Very Low;Satisfactory;Low;Medium;Medium;Graduate
3260;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Very Low;Basic;Medium;Medium;Medium;Graduate
3261;Ciencias Exactas;Yes;Low Failure;Yes;Yes;Yes;Very Low;Basic;Low;Medium;High;Graduate
3262;Ciencias Sociales;No;Low Failure;No;No;No;Very Low;Failure;Low;Medium;High;Dropout
3263;Ciencias de la Salud;Yes;Satisfactory;Yes;Yes;Yes;Very Low;Satisfactory;Medium;Medium;Medium;Graduate
3264;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Basic;High;High;Low;Dropout
3265;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Low;Low Failure;High;Low;Medium;Graduate
3266;Diseno;Yes;Basic;No;Yes;No;Very Low;Basic;Low;Low;Very Low;Graduate
3267;Ciencias Exactas;No;Basic;No;Yes;Yes;Low;Low Failure;High;High;Low;Enrolled
3268;Ciencias de la Salud;Yes;Basic;No;Yes;No;Very Low;Failure;High;Low;Medium;Dropout
3269;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Basic;Low;Low;Very Low;Dropout
3270;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Low;Low Failure;Low;Medium;Medium;Dropout
3271;Ciencias Sociales;No;Basic;No;Yes;Yes;Low;Basic;High;High;Low;Graduate
3272;Ciencias Exactas;Yes;Low Failure;No;Yes;No;Medium High;Basic;Low;Low;Very Low;Graduate
3273;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Medium;Medium;Enrolled
3274;Ciencias Agrarias;Yes;Basic;No;Yes;No;Low;Low Failure;Medium;Low;High;Dropout
3275;Ciencias Exactas;Yes;Low Failure;No;Yes;No;Low;Low Failure;Superior;Medium;Very Low;Graduate
3276;Ciencias Exactas;Yes;Basic;No;Yes;No;Low;Low Failure;Medium;Low;High;Dropout
3277;Ciencias Exactas;Yes;Low Failure;Yes;Yes;Yes;Low;Basic;Medium;Low;High;Graduate
3278;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Low;Failure;Low;Medium;Medium;Dropout
3279;Ciencias Sociales;No;Basic;No;Yes;Yes;Medium Low;Low Failure;Superior;Low;Low;Graduate
3280;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;Superior;Medium;Very Low;Graduate
3281;Ciencias Sociales;No;Basic;No;No;No;Medium Low;Basic;Medium;Medium;Medium;Dropout
3282;Ciencias Exactas;Yes;Basic;No;Yes;No;Medium Low;Basic;Low;Medium;High;Enrolled
3283;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Very Low;Low Failure;Low;Low;Very Low;Graduate
3284;Ciencias Exactas;No;Satisfactory;No;Yes;No;Low;Low Failure;Low;Medium;Medium;Enrolled
3285;Ciencias Exactas;No;Basic;No;Yes;No;Very Low;Basic;High;High;Low;Graduate
3286;Ciencias de la Salud;Yes;Satisfactory;No;Yes;No;Medium Low;Low Failure;Medium;Low;High;Dropout
3287;Diseno;Yes;Basic;No;No;No;Low;Low Failure;Medium;Medium;Medium;Dropout
3288;Ciencias Exactas;No;Basic;No;Yes;No;Very Low;Low Failure;Low;Low;Very Low;Graduate
3289;Ciencias Agrarias;Yes;Basic;No;Yes;No;Medium Low;Low Failure;Superior;Medium;Very Low;Graduate
3290;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Basic;Superior;Low;Low;Dropout
3291;Ciencias Agrarias;Yes;Basic;Yes;No;No;Medium Low;Basic;Superior;Medium;Very Low;Dropout
3292;Ciencias Sociales;Yes;Satisfactory;Yes;Yes;No;Low;Low Failure;Low;Medium;Medium;Dropout
3293;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;Medium;Medium;Medium;Enrolled
3294;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Basic;Superior;Low;Low;Enrolled
3295;Ciencias Sociales;No;Basic;Yes;Yes;No;Low;Low Failure;Medium;Medium;Medium;Graduate
3296;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Low Failure;Medium;Low;High;Enrolled
3297;Ciencias de la Salud;Yes;Basic;No;No;No;Low;Basic;High;Low;Medium;Dropout
3298;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Satisfactory;Superior;Low;Low;Graduate
3299;Ciencias de la Salud;Yes;Basic;Yes;No;No;Very Low;Failure;High;High;Low;Dropout
3300;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Failure;High;Low;Medium;Dropout
3301;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Very Low;Basic;Medium;Low;High;Graduate
3302;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Basic;Superior;Medium;Very Low;Graduate
3303;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Very Low;Basic;Medium;Medium;Medium;Graduate
3304;Ciencias Sociales;No;Basic;No;Yes;Yes;Very Low;Satisfactory;High;Low;Medium;Graduate
3305;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Basic;Superior;Medium;Very Low;Graduate
3306;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Medium Low;Basic;Low;Low;Very Low;Graduate
3307;Ciencias Sociales;No;Basic;No;Yes;No;Low;Basic;High;High;Low;Graduate
3308;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Basic;Low;Low;Very Low;Graduate
3309;Ciencias de la Salud;Yes;Basic;No;Yes;No;Very Low;Failure;High;High;Low;Dropout
3310;Ciencias Sociales;No;Basic;No;Yes;Yes;Very Low;Low Failure;Superior;Medium;Very Low;Graduate
3311;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Satisfactory;Medium;Low;High;Dropout
3312;Diseno;Yes;Basic;No;Yes;No;Low;Low Failure;Low;Medium;High;Enrolled
3313;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Basic;Low;Medium;High;Enrolled
3314;Ciencias Exactas;No;Low Failure;No;No;No;Very Low;Failure;Medium;Medium;Medium;Dropout
3315;Ciencias Exactas;No;Basic;Yes;Yes;No;Very Low;Satisfactory;Low;Medium;Medium;Graduate
3316;Ciencias Exactas;Yes;Basic;No;No;No;Very Low;Basic;High;High;Low;Dropout
3317;Diseno;Yes;Satisfactory;No;Yes;Yes;Very Low;Failure;Superior;Low;Low;Graduate
3318;Ciencias Exactas;No;Basic;No;No;No;Low;Failure;High;High;Low;Dropout
3319;Diseno;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Low;Very Low;Graduate
3320;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Low;Low Failure;Superior;Medium;Very Low;Graduate
3321;Ciencias Exactas;Yes;Basic;No;Yes;No;Very Low;Failure;Medium;Medium;Medium;Dropout
3322;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Medium;Medium;Dropout
3323;Ciencias Exactas;Yes;Low Failure;Yes;No;No;Low;Basic;High;Low;Medium;Dropout
3324;Diseno;Yes;Low Failure;Yes;Yes;No;Very Low;Failure;Low;Low;Very Low;Dropout
3325;Diseno;Yes;Basic;No;Yes;No;Low;Low Failure;Low;Medium;High;Enrolled
3326;Ciencias Exactas;No;Basic;Yes;Yes;No;Low;Basic;Low;Low;Very Low;Graduate
3327;Ciencias Agrarias;Yes;Basic;No;Yes;No;Low;Failure;Superior;Low;Low;Dropout
3328;Ciencias Exactas;Yes;Basic;No;Yes;Yes;Low;Superior;Low;Low;Very Low;Enrolled
3329;Ciencias Exactas;Yes;Low Failure;No;Yes;No;Very Low;Low Failure;Medium;Medium;Medium;Enrolled
3330;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Low;Low Failure;Superior;Low;Low;Graduate
3331;Ciencias Sociales;Yes;Low Failure;No;No;No;Medium Low;Basic;Low;Medium;Medium;Dropout
3332;Ciencias Exactas;Yes;Basic;No;No;No;Low;Low Failure;Low;Medium;Medium;Dropout
3333;Diseno;Yes;Basic;Yes;No;No;Low;Low Failure;Low;Medium;Medium;Dropout
3334;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Basic;Low;Medium;Medium;Graduate
3335;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Failure;Medium;Medium;Medium;Enrolled
3336;Ciencias Agrarias;Yes;Basic;Yes;No;No;Medium Low;Basic;Superior;Low;Low;Dropout
3337;Diseno;Yes;Satisfactory;No;No;No;Low;Basic;Low;Medium;Medium;Dropout
3338;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Low Failure;Low;Medium;Medium;Dropout
3339;Diseno;Yes;Basic;No;Yes;No;Very Low;Low Failure;Medium;Medium;Medium;Enrolled
3340;Ciencias Sociales;Yes;Basic;Yes;No;No;Low;Failure;Low;Low;Very Low;Dropout
3341;Diseno;Yes;Basic;No;No;No;Very Low;Basic;High;Low;Medium;Enrolled
3342;Diseno;Yes;Basic;Yes;Yes;Yes;Very Low;Basic;Superior;Low;Low;Graduate
3343;Ciencias Exactas;Yes;Satisfactory;No;Yes;No;Very Low;Basic;Low;Low;Very Low;Enrolled
3344;Ciencias de la Salud;Yes;Low Failure;No;No;No;Very Low;Low Failure;Low;Medium;High;Dropout
3345;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Medium;Medium;Dropout
3346;Ciencias de la Salud;Yes;Basic;No;Yes;No;Medium Low;Failure;High;Low;Medium;Dropout
3347;Ciencias Exactas;Yes;Basic;No;Yes;No;Very Low;Failure;Low;Low;Very Low;Dropout
3348;Ciencias Agrarias;Yes;Basic;No;Yes;No;Low;Low Failure;High;Low;Medium;Graduate
3349;Diseno;Yes;Basic;No;Yes;No;Low;Low Failure;Medium;Low;High;Dropout
3350;Ciencias Sociales;No;Basic;Yes;Yes;No;Very Low;Low Failure;Medium;Medium;Medium;Enrolled
3351;Ciencias Agrarias;Yes;Basic;No;Yes;No;Medium Low;Low Failure;Superior;Low;Low;Dropout
3352;Ciencias Exactas;Yes;Basic;No;Yes;No;Very Low;Low Failure;High;Low;Medium;Dropout
3353;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Very Low;Basic;High;Low;Medium;Graduate
3354;Ciencias de la Salud;Yes;Basic;No;Yes;Yes;Low;Satisfactory;Low;Low;Very Low;Graduate
3355;Ciencias Agrarias;Yes;Basic;No;No;No;Low;Low Failure;Superior;Medium;Very Low;Dropout
3356;Ciencias Exactas;Yes;Basic;No;Yes;No;Low;Basic;High;Low;Medium;Enrolled
3357;Ciencias Agrarias;Yes;Basic;No;Yes;No;Low;Failure;Superior;Low;Low;Dropout
3358;Ciencias de la Salud;Yes;Basic;No;Yes;No;Very Low;Failure;High;Low;Medium;Dropout
3359;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Medium;Medium;Enrolled
3360;Diseno;Yes;Basic;No;No;No;Very Low;Basic;Medium;Medium;Medium;Dropout
3361;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Very Low;Basic;Low;Medium;High;Graduate
3362;Ciencias Exactas;Yes;Basic;Yes;Yes;Yes;Very Low;Low Failure;Low;Medium;High;Graduate
3363;Ciencias Exactas;Yes;Basic;Yes;No;No;Very Low;Failure;Superior;Medium;Very Low;Dropout
3364;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Low Failure;Low;Medium;Medium;Dropout
3365;Ciencias Sociales;Yes;Basic;No;No;No;Low;Low Failure;Low;Low;Very Low;Dropout
3366;Ciencias Exactas;No;Basic;No;Yes;No;Low;Low Failure;Low;Medium;Medium;Enrolled
3367;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Very Low;Satisfactory;Low;Medium;Medium;Graduate
3368;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Satisfactory;Medium;Medium;Medium;Enrolled
3369;Ciencias Sociales;Yes;Basic;No;Yes;No;Low;Low Failure;Low;Medium;Medium;Dropout
3370;Ciencias Exactas;Yes;Basic;No;Yes;No;Very Low;Failure;High;High;Low;Dropout
3371;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Medium Low;Basic;Low;Medium;Medium;Graduate
3372;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Very Low;Basic;High;Low;Medium;Graduate
3373;Ciencias Exactas;Yes;Basic;No;Yes;Yes;Low;Basic;High;Low;Medium;Graduate
3374;Ciencias Sociales;Yes;Low Failure;Yes;Yes;Yes;Very Low;Basic;High;Low;Medium;Graduate
3375;Ciencias Agrarias;Yes;Satisfactory;Yes;Yes;No;Low;Basic;Superior;Medium;Very Low;Graduate
3376;Ciencias de la Salud;Yes;Low Failure;Yes;Yes;Yes;Very Low;Satisfactory;Low;Medium;High;Graduate
3377;Ciencias Sociales;Yes;Low Failure;No;Yes;Yes;Very Low;Basic;Medium;Low;High;Graduate
3378;Ciencias Exactas;Yes;Basic;No;Yes;No;Very Low;Low Failure;Medium;Medium;Medium;Enrolled
3379;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Very Low;Basic;Low;Medium;Medium;Graduate
3380;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Basic;High;Low;Medium;Dropout
3381;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Medium Low;Low Failure;Low;Medium;Medium;Dropout
3382;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Very Low;Satisfactory;Medium;Low;High;Graduate
3383;Ciencias Exactas;Yes;Basic;No;Yes;No;Very Low;Failure;Medium;Low;High;Dropout
3384;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Satisfactory;High;High;Low;Enrolled
3385;Ciencias Sociales;Yes;Low Failure;No;Yes;Yes;Low;Low Failure;Superior;Medium;Very Low;Graduate
3386;Ciencias de la Salud;Yes;Basic;No;Yes;No;Very Low;Basic;Medium;Low;High;Graduate
3387;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Basic;High;Low;Medium;Graduate
3388;Diseno;Yes;Basic;Yes;Yes;Yes;Low;Basic;Low;Medium;High;Graduate
3389;Ciencias Sociales;Yes;Low Failure;No;Yes;Yes;Low;Low Failure;Medium;Medium;Medium;Enrolled
3390;Ciencias Sociales;Yes;Basic;No;Yes;Yes;Very Low;Basic;Superior;Low;Low;Graduate
3391;Ciencias de la Salud;Yes;Basic;No;Yes;No;Low;Basic;Low;Low;Very Low;Graduate
3392;Diseno;Yes;Basic;No;Yes;Yes;Very Low;Basic;Superior;Low;Low;Graduate
3393;Ciencias Exactas;Yes;Basic;No;Yes;Yes;Very Low;Basic;Medium;Low;High;Graduate
3394;Ciencias Exactas;Yes;Basic;Yes;Yes;No;Low;Basic;Medium;Medium;Medium;Enrolled
3395;Ciencias de la Salud;Yes;Satisfactory;Yes;Yes;No;Low;Basic;Low;Medium;High;Graduate
3396;Ciencias Exactas;Yes;Basic;No;Yes;No;Very Low;Failure;Superior;Low;Low;Enrolled
3397;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Satisfactory;Low;Low;Very Low;Graduate
3398;Ciencias de la Salud;Yes;Basic;No;Yes;No;Very Low;Satisfactory;Low;Medium;Medium;Graduate
3399;Diseno;Yes;Basic;No;Yes;Yes;Very Low;Low Failure;Low;Low;Very Low;Graduate
3400;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Low;Low Failure;High;High;Low;Graduate
3401;Diseno;Yes;Basic;No;Yes;No;Low;Basic;Superior;Medium;Very Low;Enrolled
3402;Ciencias Sociales;Yes;Basic;No;Yes;No;Very Low;Basic;High;High;Low;Graduate
3403;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Basic;Superior;Medium;Very Low;Graduate
3404;Ciencias Exactas;No;Basic;No;Yes;No;Very Low;Low Failure;Low;Low;Very Low;Enrolled
3405;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Failure;High;Low;Medium;Graduate
3406;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Low;Basic;Medium;Medium;Medium;Enrolled
3407;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Satisfactory;Low;Low;Very Low;Graduate
3408;Ciencias de la Salud;Yes;Basic;No;No;No;Low;Failure;Low;Low;Very Low;Dropout
3409;Ciencias Sociales;Yes;Low Failure;Yes;Yes;No;Very Low;Basic;Medium;Low;High;Graduate
3410;Diseno;Yes;Basic;Yes;Yes;No;Very Low;Basic;High;Low;Medium;Enrolled
3411;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;Medium;Medium;Medium;Graduate
3412;Ciencias Exactas;Yes;Basic;No;Yes;No;Low;Low Failure;Low;Low;Very Low;Enrolled
3413;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Very Low;Failure;Superior;Medium;Very Low;Dropout
3414;Ciencias de la Salud;Yes;Basic;Yes;Yes;Yes;Low;Basic;High;Low;Medium;Graduate
3415;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Basic;Medium;Low;High;Enrolled
3416;Ciencias Sociales;Yes;Basic;No;Yes;No;Very Low;Basic;Superior;Low;Low;Enrolled
3417;Ciencias Sociales;Yes;Basic;No;Yes;No;Medium Low;Low Failure;High;High;Low;Dropout
3418;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Very Low;Basic;Medium;Low;High;Graduate
3419;Ciencias Sociales;Yes;Basic;Yes;Yes;Yes;Very Low;Basic;Superior;Medium;Very Low;Graduate
3420;Ciencias de la Salud;Yes;Basic;No;Yes;Yes;Low;Basic;Low;Low;Very Low;Graduate
3421;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Very Low;Failure;Medium;Low;High;Dropout
3422;Ciencias Sociales;Yes;Basic;No;No;Yes;Low;Basic;High;High;Low;Dropout
3423;Ciencias Exactas;No;Basic;No;Yes;No;Very Low;Satisfactory;High;High;Low;Dropout
3424;Ciencias de la Salud;Yes;Basic;Yes;Yes;No;Low;Failure;Low;Low;Very Low;Dropout
3425;Ciencias Exactas;Yes;Satisfactory;No;No;No;Very Low;Basic;Medium;Medium;Medium;Dropout
3426;Ciencias Exactas;Yes;Low Failure;Yes;Yes;No;Very Low;Low Failure;Medium;Medium;Medium;Enrolled
3427;Ciencias Sociales;Yes;Basic;Yes;Yes;No;Very Low;Low Failure;Low;Medium;Medium;Graduate
3428;Ciencias Sociales;No;Basic;No;Yes;No;Very Low;Basic;High;Low;Medium;Dropout
3429;Ciencias Exactas;Yes;Basic;No;Yes;No;Very Low;Failure;Low;Medium;Medium;Dropout
